💾 Step 1: Backup topik_nama lama...
✅ Backup 0 hadits → backup-topik-2026-05-21.json

🚀 Mode: GASS (full update)
📋 33 topik | 5518 hadits | 552 batches

📦 204/552 | ✏️ 721 changed | ✅ 1310 same | ⏭ 9 skip
📦 205/552 | ✏️ 727 changed | ✅ 1314 same | ⏭ 9 skip
📦 206/552 | ✏️ 731 changed | ✅ 1320 same | ⏭ 9 skip
📦 207/552 | ✏️ 736 changed | ✅ 1325 same | ⏭ 9 skip
📦 208/552 | ✏️ 741 changed | ✅ 1330 same | ⏭ 9 skip
📦 209/552 | ✏️ 746 changed | ✅ 1335 same | ⏭ 9 skip
📦 210/552 | ✏️ 749 changed | ✅ 1342 same | ⏭ 9 skip
📦 211/552 | ✏️ 752 changed | ✅ 1349 same | ⏭ 9 skip
📦 212/552 | ✏️ 754 changed | ✅ 1357 same | ⏭ 9 skip
📦 213/552 | ✏️ 757 changed | ✅ 1364 same | ⏭ 9 skip
📦 214/552 | ✏️ 760 changed | ✅ 1371 same | ⏭ 9 skip
📦 215/552 | ✏️ 763 changed | ✅ 1378 same | ⏭ 9 skip
📦 216/552 | ✏️ 767 changed | ✅ 1384 same | ⏭ 9 skip
📦 217/552 | ✏️ 771 changed | ✅ 1390 same | ⏭ 9 skip
📦 218/552 | ✏️ 776 changed | ✅ 1395 same | ⏭ 9 skip
📦 219/552 | ✏️ 778 changed | ✅ 1403 same | ⏭ 9 skip
📦 220/552 | ✏️ 784 changed | ✅ 1407 same | ⏭ 9 skip
📦 221/552 | ✏️ 786 changed | ✅ 1415 same | ⏭ 9 skip
📦 222/552 | ✏️ 790 changed | ✅ 1421 same | ⏭ 9 skip
📦 223/552 | ✏️ 794 changed | ✅ 1427 same | ⏭ 9 skip
📦 224/552 | ✏️ 798 changed | ✅ 1433 same | ⏭ 9 skip
📦 225/552 | ✏️ 802 changed | ✅ 1439 same | ⏭ 9 skip
📦 226/552 | ✏️ 805 changed | ✅ 1446 same | ⏭ 9 skip
📦 227/552 | ✏️ 808 changed | ✅ 1453 same | ⏭ 9 skip
📦 228/552 | ✏️ 811 changed | ✅ 1460 same | ⏭ 9 skip
📦 229/552 | ✏️ 814 changed | ✅ 1467 same | ⏭ 9 skip
📦 230/552 | ✏️ 815 changed | ✅ 1476 same | ⏭ 9 skip
📦 231/552 | ✏️ 819 changed | ✅ 1482 same | ⏭ 9 skip
📦 232/552 | ✏️ 824 changed | ✅ 1487 same | ⏭ 9 skip
📦 233/552 | ✏️ 828 changed | ✅ 1493 same | ⏭ 9 skip
📦 234/552 | ✏️ 832 changed | ✅ 1499 same | ⏭ 9 skip
📦 235/552 | ✏️ 836 changed | ✅ 1505 same | ⏭ 9 skip
📦 236/552 | ✏️ 838 changed | ✅ 1513 same | ⏭ 9 skip
📦 237/552 | ✏️ 842 changed | ✅ 1519 same | ⏭ 9 skip
📦 238/552 | ✏️ 844 changed | ✅ 1527 same | ⏭ 9 skip
📦 239/552 | ✏️ 850 changed | ✅ 1531 same | ⏭ 9 skip
📦 240/552 | ✏️ 855 changed | ✅ 1536 same | ⏭ 9 skip
📦 241/552 | ✏️ 859 changed | ✅ 1542 same | ⏭ 9 skip
📦 242/552 | ✏️ 863 changed | ✅ 1548 same | ⏭ 9 skip
📦 243/552 | ✏️ 867 changed | ✅ 1554 same | ⏭ 9 skip
📦 244/552 | ✏️ 871 changed | ✅ 1560 same | ⏭ 9 skip
📦 245/552 | ✏️ 873 changed | ✅ 1568 same | ⏭ 9 skip
📦 246/552 | ✏️ 877 changed | ✅ 1574 same | ⏭ 9 skip
📦 247/552 | ✏️ 880 changed | ✅ 1581 same | ⏭ 9 skip
📦 248/552 | ✏️ 885 changed | ✅ 1586 same | ⏭ 9 skip
📦 249/552 | ✏️ 890 changed | ✅ 1591 same | ⏭ 9 skip
